iptelnet;porta;label;rede_origem;status_telnet;status_ping;
10.192.72.63;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.64;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.65;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.66;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.67;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.68;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.69;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.70;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.71;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.72;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.73;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.74;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.75;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.76;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.77;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.78;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.79;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.80;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.81;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.82;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.83;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.84;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.85;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.86;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.87;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.88;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.89;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.90;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.91;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.92;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.93;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.94;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.95;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.96;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.97;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.98;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.99;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.100;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.101;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.102;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.103;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.104;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.105;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.106;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.107;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.108;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.109;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.110;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.111;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.112;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.113;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.114;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.115;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.116;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.117;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.118;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.119;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.120;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.121;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.122;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.123;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.124;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.125;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.126;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.127;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.128;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.129;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.130;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.131;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.132;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.133;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.134;22;Tuffin 37308;10.192.72.0/24;naook;falha;
