10.221.24.60;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.60;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.60;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.61;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.61;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.61;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.62;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.62;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.62;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.25.1;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.1;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.1;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.2;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.2;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.2;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.3;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.3;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.3;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.4;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.4;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.4;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.5;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.5;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.5;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.6;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.6;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.6;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.7;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.7;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.7;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.8;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.8;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.8;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.9;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.9;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.9;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.10;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.10;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.10;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.11;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.11;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.11;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.12;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.12;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.12;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.13;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.13;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.13;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.14;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.14;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.14;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.15;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.15;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.15;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.16;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.16;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.16;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.17;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.17;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.17;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.18;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.18;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.18;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.19;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.19;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.19;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.20;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.20;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.20;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.21;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.21;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.21;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.22;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.22;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.22;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.23;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.23;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.23;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
10.221.25.24;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.25.0/24;
